block_id,def_id,ground_truth,compas_score,dartmouth_score,study1_condition1,study1_condition2,study1_condition3,study1_condition4,study2_condition1,study2_condition2,study1_image_id,study2_image_id_black,study2_image_id_white,def_age,def_gender,def_race,def_juv_fel,def_juv_misd,def_priors,def_charge_degree
1,3732,0,1,4,7,8,8,6,5,5, BM-003, BM-010, WM-010,26,0,2,0,0,1,0
1,3957,0,2,4,5,15,7,7,13,12, LM-206, BM-010, WM-010,24,0,3,0,0,1,0
1,4105,1,9,15,20,17,19,20,20,20, WM-013, BM-017, WM-012,33,0,1,0,0,7,1
1,4766,1,9,14,17,20,16,16,16,19, WM-003, BM-001, WM-003,26,0,1,0,0,2,1
1,4767,0,2,13,15,19,16,18,16,15, WM-023, BM-025, WM-201,39,0,1,0,0,3,1
1,4841,0,1,1,0,0,2,0,1,2, WM-221, BM-034, WM-221,55,0,1,0,0,0,0
1,5438,1,10,14,12,18,14,12,12,11, BM-009, BM-009, WM-001,20,0,2,0,0,1,1
1,5557,1,4,5,5,5,8,6,4,7, BM-212, BM-212, WM-223,51,0,2,0,0,0,0
1,5593,1,4,18,19,19,20,18,14,15, WM-018, BM-021, WM-023,37,0,1,0,0,4,0
1,5647,1,1,2,0,1,1,1,2,2, BF-024, BF-024, WF-014,42,1,2,0,0,0,0
1,6064,0,2,1,0,3,3,1,2,2, WF-002, BF-007, WF-002,31,1,1,0,0,0,0
1,7324,0,1,2,3,3,3,4,3,2, WM-014, BM-020, WM-014,30,0,1,0,0,0,1
1,7412,1,2,4,2,4,5,3,3,3, WM-006, BM-016, WM-019,28,0,1,0,0,0,1
1,7652,1,8,18,19,19,19,18,19,19, BM-002, BM-005, WM-009,25,0,2,0,0,8,1
1,7678,1,7,18,20,19,19,20,19,20, BM-016, BM-013, WM-015,28,0,2,0,2,7,1
1,8104,0,6,15,19,19,20,19,19,19, BF-202, BF-202, WF-216,42,1,2,0,0,16,1
1,8141,0,4,3,2,2,0,0,1,1, WM-001, BM-036, WM-024,21,0,1,0,0,0,1
1,8267,1,3,16,16,16,18,15,12,14, BM-034, BM-034, WM-221,46,0,2,0,0,3,1
1,8307,0,6,9,14,15,18,18,16,13, BF-203, BF-203, WF-221,53,1,2,0,0,5,1
1,8517,1,3,3,6,5,5,2,5,1, BM-013, BM-002, WM-004,23,0,2,0,0,0,0
1,8613,0,2,10,16,15,10,14,11,12, WM-011, BM-017, WM-012,33,0,1,0,0,2,0
1,8827,0,3,19,20,20,18,19,17,18, LM-200, BM-002, WM-004,26,0,3,0,0,5,1
1,8938,0,5,2,2,0,1,2,3,2, BF-224, BF-203, WF-221,48,1,2,0,0,0,0
1,9295,0,2,11,15,17,14,16,18,17, LM-201, BM-011, WM-011,30,0,3,0,0,2,1
1,9435,0,5,16,20,18,17,17,17,19, WM-004, BM-003, WM-006,24,0,1,0,0,3,1
1,9501,0,1,13,1,2,2,2,5,6, LM-215, BM-033, WM-220,45,0,3,0,0,0,0
1,9644,0,6,5,4,8,2,3,9,8, BM-010, BM-001, WM-003,22,0,2,0,0,0,0
1,9924,1,3,7,8,10,8,10,6,8, WM-002, BM-004, WM-002,29,0,1,0,0,0,1
1,10011,1,3,11,16,16,15,14,18,16, BM-025, BM-012, WM-018,45,0,2,0,0,4,0
1,10044,1,2,1,1,4,3,0,1,3, WM-016, BM-029, WM-020,34,0,1,0,0,0,0
1,10307,0,6,19,20,20,18,19,17,18, BM-004, BM-011, WM-011,31,0,2,2,0,6,1
1,10406,0,7,11,14,15,15,16,11,12, BM-012, BM-012, WM-018,43,0,2,0,0,2,1
1,10452,0,1,2,2,1,0,2,2,2, BF-027, BF-027, WF-026,44,1,2,0,0,0,1
2,282,1,4,18,17,20,17,19,18,20, WM-220, BM-033, WM-220,45,0,1,0,0,8,0
2,375,0,2,20,17,17,19,18,17,14, WM-002, BM-011, WM-011,30,0,1,0,0,4,1
2,408,0,3,5,9,7,8,12,5,8, WF-005, BF-005, WF-006,22,1,1,0,0,1,1
2,726,1,6,15,14,16,17,16,14,16, WM-012, BM-004, WM-002,34,0,1,0,0,4,1
2,794,1,5,17,18,20,19,19,18,17, BM-018, BM-022, WM-016,29,0,2,0,0,5,1
2,838,0,3,4,5,3,6,4,4,4, BM-025, BM-044, WM-225,44,0,2,0,0,1,0
2,913,1,8,18,17,16,18,16,15,17, BM-004, BM-004, WM-002,31,0,2,0,0,3,0
2,1066,0,2,12,9,12,12,11,8,8, WM-023, BM-021, WM-023,40,0,1,0,0,1,1
2,1103,0,8,3,6,7,5,5,7,5, BM-002, BM-002, WM-004,22,0,2,0,0,0,1
2,1195,0,7,18,11,14,17,16,15,18, BF-024, BF-024, WF-014,37,1,2,0,0,3,1
2,1361,1,3,16,16,16,18,18,16,18, BM-019, BM-010, WM-010,27,0,2,0,0,5,0
2,1490,1,4,16,14,19,16,15,18,18, BM-020, BM-011, WM-011,30,0,2,0,0,4,0
2,1941,0,1,2,1,4,3,2,3,0, BM-003, BM-003, WM-006,28,0,2,0,0,0,0
2,2002,0,5,19,19,18,20,18,18,18, WM-221, BM-213, WM-248,49,0,1,0,0,12,0
2,2034,0,2,7,9,11,13,13,10,14, WM-201, BM-012, WM-018,37,0,1,0,0,2,1
2,2525,0,2,1,5,1,7,3,4,3, WM-003, BM-002, WM-004,28,0,1,0,0,0,1
2,2703,0,7,11,12,12,11,12,15,16, BM-218, BM-218, WM-249,51,0,2,0,0,3,1
2,3010,0,1,2,2,2,2,1,0,0, empty,NA,NA,58,0,1,0,0,0,0
2,3248,1,1,13,10,16,19,16,16,16, empty,NA,NA,70,0,1,0,0,11,1
2,3647,0,3,10,11,7,11,11,8,8, BM-009, BM-009, WM-001,20,0,2,0,0,0,1
2,3854,1,3,12,14,15,11,13,10,11, BM-001, BM-001, WM-003,22,0,2,0,0,1,1
2,4098,1,4,18,17,18,19,18,16,18, BM-015, BM-015, WM-017,26,0,2,0,0,4,1
2,4161,1,1,0,0,2,2,1,4,2, BM-225, BM-225,NA,54,0,2,0,0,0,0
2,4546,1,1,3,4,5,10,4,6,4, BM-011, BM-017, WM-012,32,0,2,0,0,0,1
2,4629,1,1,0,3,2,2,1,5,4, WM-223, BM-034, WM-221,55,0,1,0,0,0,0
2,4640,1,10,20,20,20,19,19,20,18, BM-013, BM-013, WM-015,25,0,2,0,1,10,1
2,4860,0,2,2,2,4,4,4,1,2, BF-001, BF-001, WF-001,24,1,2,0,0,0,0
2,4943,1,9,19,18,20,18,18,19,19, BM-034, BM-034, WM-221,46,0,2,1,0,9,1
2,4977,1,7,20,20,20,20,19,19,19, WM-018, BM-012, WM-018,39,0,1,6,1,17,1
2,4991,1,3,17,17,18,20,19,19,19, empty,NA,NA,58,0,2,0,0,10,1
2,5049,0,2,1,1,2,4,3,3,3, WF-003, BF-004, WF-005,26,1,1,0,0,0,0
2,5270,0,4,1,1,5,2,1,6,3, BM-022, BM-018, WM-013,31,0,2,0,0,0,0
2,5500,0,4,10,10,14,18,15,20,18, empty,NA,NA,72,0,1,0,0,7,1
2,5765,0,9,20,19,19,20,19,19,19, BM-212, BM-212, WM-223,51,0,2,1,0,19,1
2,6189,0,2,2,3,5,5,7,9,9, WF-221, BF-203, WF-221,46,1,1,0,0,1,1
2,6207,1,8,1,3,2,1,1,4,1, BM-021, BM-025, WM-201,38,0,2,0,0,0,0
2,6240,0,1,2,4,8,5,4,8,6, BM-213, BM-212, WM-223,50,0,2,0,0,0,1
2,6884,0,8,1,0,5,3,2,5,7, WM-013, BM-017, WM-012,29,0,1,0,0,0,1
2,7032,0,2,1,7,6,2,6,8,7, empty,NA,NA,58,1,1,0,0,1,0
2,7834,0,2,5,5,9,6,6,7,5, BM-017, BM-020, WM-014,33,0,2,0,0,1,1
2,7897,1,5,1,2,2,5,4,2,0, WF-001, BF-003, WF-003,24,1,1,0,0,0,0
2,7920,0,4,3,4,4,6,5,4,4, BM-005, BM-005, WM-009,22,0,2,0,0,0,1
2,8046,1,10,16,19,19,20,19,19,19, BM-010, BM-010, WM-010,27,0,2,0,0,13,1
2,8162,0,2,6,1,6,4,6,6,10, AM-215, BM-213, WM-248,48,0,4,0,0,0,1
2,9407,0,7,20,19,20,20,19,17,17, BM-012, BM-021, WM-023,40,0,2,0,0,20,1
2,9634,0,3,20,17,17,16,17,20,20, LM-200, BM-001, WM-003,24,0,3,0,0,2,1
2,10220,0,3,7,4,10,8,11,7,11, BM-016, BM-005, WM-009,24,0,2,0,0,1,1
2,10423,1,2,12,12,16,11,16,15,17, WM-004, BM-003, WM-006,28,0,1,0,0,2,1
2,10502,0,1,0,3,3,3,0,2,3, WM-011, BM-018, WM-013,31,0,1,0,0,0,1
2,10748,0,1,2,5,8,8,4,10,14, WM-225, BM-206, WM-258,44,0,1,0,0,1,0
3,505,0,1,14,7,7,9,10,3,7, BM-020, BM-018, WM-013,29,0,2,0,0,0,1
3,526,0,6,10,10,7,8,9,10,8, WF-022, BF-002, WF-022,21,1,1,0,0,0,1
3,999,1,1,8,7,6,6,7,6,11, WM-018, BM-012, WM-018,38,0,1,0,0,1,1
3,1159,0,1,0,3,2,3,1,2,1, BF-203, BF-203, WF-221,53,1,2,0,0,0,1
3,1286,1,4,18,20,20,20,19,18,18, WM-015, BM-010, WM-010,24,0,1,0,2,3,1
3,1833,0,3,5,2,5,3,4,4,2, AM-201, BM-002, WM-004,24,0,4,0,0,0,1
3,2338,0,1,2,1,3,2,0,2,0, empty,NA,NA,59,0,3,0,0,0,0
3,2572,1,5,16,12,19,17,16,15,17, BF-005, BF-005, WF-006,28,1,2,0,0,2,1
3,2624,1,2,5,9,5,4,7,8,9, BM-034, BM-034, WM-221,51,0,2,0,0,0,1
3,2685,0,5,6,7,7,5,2,5,6, BF-002, BF-002, WF-022,21,1,2,0,0,0,1
3,2691,0,1,9,4,1,3,7,4,9, BM-213, BM-213, WM-248,54,0,2,0,0,0,0
3,3234,0,1,18,20,20,20,19,20,20, WM-225, BM-025, WM-201,39,0,1,0,0,8,1
3,3510,1,9,20,20,19,19,19,19,19, WM-220, BM-021, WM-023,36,0,1,1,0,10,0
3,3768,0,1,12,5,8,6,5,4,11, BF-024, BF-024, WF-014,36,1,2,0,0,1,0
3,4029,1,2,4,4,3,2,4,4,2, LM-206, BM-003, WM-006,28,0,3,0,0,0,0
3,4082,1,5,1,2,6,2,6,5,6, WM-004, BM-005, WM-009,24,0,1,0,0,0,1
3,4126,1,2,7,2,5,11,10,6,10, BM-017, BM-017, WM-012,30,0,2,0,0,0,1
3,4426,0,2,1,4,7,1,2,3,5, WF-014, BF-027, WF-026,43,1,1,0,0,0,0
3,4461,0,1,15,16,17,17,14,17,17, empty,NA,NA,64,0,1,0,0,8,1
3,4620,0,2,5,6,9,9,8,6,12, WM-023, BM-021, WM-023,41,0,1,0,0,0,1
3,4703,1,2,5,6,7,9,5,5,5, LM-208, BM-001, WM-003,25,0,3,0,0,0,1
3,5213,0,2,17,15,18,20,17,16,15, LM-201, BM-017, WM-012,33,0,3,0,0,3,0
3,5217,1,1,2,2,3,3,5,2,5, BM-012, BM-012, WM-018,37,0,2,0,0,0,1
3,5352,1,2,3,5,3,2,3,3,5, BM-002, BM-003, WM-006,24,0,2,0,0,0,0
3,5607,0,3,20,18,17,18,16,17,16, WM-201, BM-025, WM-201,38,0,1,0,0,2,1
3,5614,1,8,16,15,18,18,17,16,18, BM-004, BM-004, WM-002,33,0,2,0,0,2,1
3,5917,1,4,8,3,9,8,9,7,7, BM-018, BM-011, WM-011,32,0,2,0,0,1,0
3,6314,1,6,4,7,8,6,10,8,7, WM-001, BM-009, WM-001,20,0,1,0,0,0,1
3,6683,1,6,18,19,17,19,16,18,18, BF-001, BF-001, WF-001,24,1,2,0,0,3,0
3,7010,1,3,19,17,15,20,17,19,17, BM-218, BM-218, WM-249,54,0,2,0,0,4,1
3,7079,0,7,17,18,18,20,19,18,17, WM-006, BM-010, WM-010,25,0,1,0,0,3,1
3,7170,0,5,9,8,8,12,11,12,12, WM-010, BM-016, WM-019,22,0,1,0,0,0,1
3,7219,0,4,18,17,18,18,19,17,19, BM-032, BM-029, WM-020,32,0,2,0,0,3,1
3,7224,1,3,15,12,9,13,11,8,11, BM-003, BM-005, WM-009,24,0,2,0,0,1,1
3,7315,1,5,18,16,16,19,14,15,18, BM-001, BM-015, WM-017,24,0,2,0,0,2,0
3,7416,0,1,18,14,18,15,17,17,14, LM-200, BM-001, WM-003,26,0,3,0,0,2,0
3,7840,0,2,15,9,19,12,15,12,14, WM-009, BM-013, WM-015,22,0,1,0,0,1,1
3,8099,0,1,1,3,3,2,3,4,2, WM-003, BM-002, WM-004,28,0,1,0,0,0,0
3,8528,0,2,10,8,12,10,14,8,12, BM-029, BM-022, WM-016,32,0,2,0,0,1,1
3,8909,0,1,3,5,3,2,1,4,2, WM-221, BM-225,NA,46,0,1,0,0,0,0
3,9428,0,2,18,18,19,20,19,19,20, WM-223, BM-034, WM-221,52,0,1,0,0,7,0
3,9690,0,2,9,5,3,6,8,5,5, BF-004, BF-004, WF-005,26,1,2,0,0,0,0
3,9844,1,1,13,10,12,12,11,13,12, WM-248, BM-212, WM-223,51,0,1,0,0,2,1
3,9889,0,6,18,18,18,20,20,16,19, BM-011, BM-011, WM-011,35,0,2,0,0,9,1
3,10390,1,4,18,19,20,17,19,17,17, WM-002, BM-004, WM-002,29,0,1,0,0,3,1
3,10448,1,4,19,16,20,19,19,20,19, BM-212, BM-212, WM-223,48,0,2,0,0,11,0
3,10762,0,4,10,8,11,9,7,7,8, LF-201, BF-001, WF-001,26,1,3,0,0,1,0
3,10783,0,1,0,1,1,1,1,1,1, empty,NA,NA,66,0,1,0,0,0,0
3,10824,1,4,14,11,13,13,13,11,13, BF-003, BF-003, WF-003,23,1,2,0,0,1,1
3,10919,1,6,20,19,19,19,20,18,19, BM-022, BM-020, WM-014,35,0,2,0,0,12,0
4,42,1,8,16,15,19,16,17,18,15, BM-020, BM-018, WM-013,32,0,2,0,0,4,1
4,685,1,10,7,15,15,14,14,11,9, BF-211, BF-203, WF-221,46,1,2,0,0,2,1
4,853,0,3,13,15,14,15,12,11,9, BM-034, BM-034, WM-221,50,0,2,0,0,3,0
4,1162,1,7,19,20,19,19,19,18,16, BM-005, BM-005, WM-009,26,0,2,0,0,5,1
4,1166,1,9,17,17,19,16,17,17,19, BM-019, BM-003, WM-006,27,0,2,0,0,4,1
4,1385,1,2,19,18,18,17,18,17,13, BM-002, BM-002, WM-004,28,0,2,0,0,4,0
4,1856,0,4,6,11,13,9,11,12,9, WM-024, BM-036, WM-024,21,0,1,0,0,1,1
4,2228,1,4,18,19,20,19,20,20,19, BM-009, BM-009, WM-001,19,0,2,0,2,3,1
4,2773,1,7,20,18,19,20,19,17,17, BF-203, BF-203, WF-221,49,1,2,0,0,14,0
4,3315,0,1,2,1,1,2,0,1,0, empty,NA,NA,62,0,1,0,0,0,0
4,3738,0,9,20,18,20,19,19,16,18, WM-003, BM-013, WM-015,28,0,1,0,0,14,1
4,3794,1,7,2,1,2,3,2,1,1, BM-212, BM-212, WM-223,46,0,2,0,0,0,1
4,3848,1,8,20,20,19,20,20,18,19, BM-013, BM-023, WM-028,26,0,2,0,0,5,1
4,4117,0,1,2,7,6,10,5,5,5, WF-237, BF-211, WF-237,48,1,1,0,0,1,0
4,4193,0,1,2,3,2,5,1,0,2, LM-215, BM-012, WM-018,44,0,3,0,0,0,0
4,4290,0,1,3,4,6,3,8,4,5, BM-011, BM-004, WM-002,29,0,2,0,0,1,0
4,4558,0,1,1,4,1,4,2,1,4, WM-002, BM-004, WM-002,33,0,1,0,0,0,1
4,5127,0,4,2,4,4,4,1,2,1, WF-001, BF-001, WF-001,25,1,1,0,0,0,0
4,5449,0,3,5,10,10,10,10,6,6, WM-011, BM-011, WM-011,32,0,1,0,0,1,1
4,5489,1,8,19,20,20,20,20,19,19, BM-003, BM-003, WM-006,24,0,2,0,0,7,1
4,5830,0,4,12,20,18,18,17,16,15, WM-004, BM-019, WM-026,25,0,1,0,0,2,1
4,5985,0,1,0,3,1,3,4,1,0, empty,NA,NA,65,0,1,0,0,0,0
4,6171,0,1,3,7,8,5,3,3,5, BF-027, BF-202, WF-216,45,1,2,0,0,1,1
4,6386,1,3,13,17,16,14,16,16,17, LM-200, BM-015, WM-017,28,0,3,0,0,2,1
4,6546,0,8,14,17,17,15,15,12,15, LM-206, BM-016, WM-019,28,0,3,0,0,2,1
4,7199,0,6,10,12,12,8,10,8,5, BM-026, BM-013, WM-015,28,0,2,0,0,1,1
4,7437,1,10,18,18,18,19,20,19,17, WF-002, BF-007, WF-002,29,1,1,0,0,20,1
4,7517,0,1,0,1,1,2,1,2,1, BF-024, BF-024, WF-014,41,1,2,0,0,0,0
4,7830,1,5,9,17,15,14,14,10,12, BF-007, BF-009, WF-008,31,1,2,0,0,2,1
4,8532,0,2,9,14,17,12,13,13,11, BM-018, BM-017, WM-012,30,0,2,0,0,1,1
4,8924,1,4,5,10,7,7,8,10,6, BM-001, BM-001, WM-003,27,0,2,0,0,1,1
4,9231,0,4,19,18,18,17,18,12,16, WM-012, BM-018, WM-013,35,0,1,0,0,3,1
4,9242,0,1,4,3,6,6,5,0,2, WM-018, BM-021, WM-023,38,0,1,0,0,0,1
4,9328,0,1,0,2,3,1,1,1,1, empty, BF-027, WF-026,41,1,3,0,0,0,1
4,9336,0,4,20,17,18,18,20,16,18, BM-016, BM-002, WM-004,26,0,2,0,0,5,1
4,9352,0,10,19,20,20,20,19,18,17, WM-001, BM-009, WM-001,20,0,1,0,4,4,1
4,9399,1,3,12,16,16,18,14,16,12, LM-226, BM-025, WM-201,43,0,3,0,0,3,0
4,9467,1,7,2,2,8,3,4,3,4, BM-015, BM-001, WM-003,22,0,2,0,0,0,1
4,9586,1,5,3,3,2,3,2,2,3, BF-001, BF-001, WF-001,22,1,2,0,0,0,0
4,9609,1,5,20,20,20,20,20,19,19, LF-200, BF-010, WF-018,32,1,3,0,0,8,0
4,9686,0,4,3,0,6,5,4,2,5, BM-024, BM-010, WM-010,24,0,2,0,0,0,1
4,9820,0,4,10,14,15,14,14,12,10, BM-022, BM-020, WM-014,29,0,2,0,0,2,0
4,9919,0,4,4,0,3,2,3,0,1, BM-004, BM-017, WM-012,32,0,2,0,0,0,0
4,9933,1,10,20,20,20,20,19,19,19, BM-010, BM-010, WM-010,27,0,2,2,0,14,1
4,10137,0,7,2,3,2,2,3,2,3, BM-017, BM-011, WM-011,32,0,2,0,0,0,1
4,10150,1,2,17,18,18,18,18,16,16, BM-023, BM-005, WM-009,28,0,2,0,0,3,0
4,10591,1,5,15,16,19,19,18,17,14, WM-023, BM-012, WM-018,40,0,1,0,0,4,1
4,10700,1,10,20,20,20,20,20,19,20, BM-012, BM-021, WM-023,36,0,2,1,2,14,1
4,10709,0,1,0,2,0,2,1,1,1, empty,NA,NA,74,0,1,0,0,0,0
4,10958,0,6,7,15,15,13,12,11,11, WF-221, BF-211, WF-237,49,1,1,0,0,2,1
5,115,1,4,10,9,14,16,12,7,7, BF-001, BF-001, WF-001,26,1,2,0,0,1,1
5,1044,0,5,18,17,20,18,19,13,11, BM-025, BM-025, WM-201,36,0,2,0,1,4,0
5,1059,0,6,8,6,6,10,11,10,12, BM-023, BM-003, WM-006,24,0,2,0,0,1,0
5,1130,1,5,20,20,20,20,20,20,20, WM-002, BM-011, WM-011,30,0,1,0,0,22,1
5,1160,0,7,7,4,6,10,3,8,10, BF-003, BF-001, WF-001,23,1,2,0,0,0,1
5,1870,0,3,7,5,6,5,7,10,6, BM-036, BM-037, WM-025,20,0,2,0,0,0,1
5,2006,1,8,11,3,11,11,6,1,2, BM-002, BM-002, WM-004,22,0,2,0,0,0,1
5,2020,0,7,20,20,20,18,19,19,20, LM-200, BM-005, WM-009,28,0,3,0,0,11,0
5,2156,1,5,8,8,9,4,5,4,7, WM-023, BM-206, WM-258,45,0,1,0,0,1,1
5,2195,1,6,19,20,19,18,20,20,16, BM-005, BM-013, WM-015,25,0,2,0,0,8,1
5,2502,0,1,4,4,4,1,3,5,5, LM-215, BM-025, WM-201,45,0,3,0,0,0,1
5,2533,1,6,1,1,5,5,2,6,7, WM-001, BM-036, WM-024,19,0,1,0,0,0,0
5,2586,0,1,10,10,10,9,7,14,11, WM-201, BM-021, WM-023,40,0,1,0,0,1,1
5,2737,1,8,19,20,19,19,19,19,19, BM-003, BM-003, WM-006,26,0,2,0,0,9,1
5,2790,0,4,3,2,3,6,3,4,5, WM-220, BM-033, WM-220,43,0,1,0,0,0,0
5,2901,1,9,14,16,18,18,19,13,12, BM-001, BM-001, WM-003,26,0,2,0,0,6,1
5,3145,1,5,19,20,19,18,19,18,18, BM-011, BM-017, WM-012,30,0,2,0,1,7,1
5,3309,1,5,20,18,17,17,18,16,16, WM-004, BM-015, WM-017,26,0,1,0,0,5,1
5,3322,1,4,5,6,7,6,3,8,6, BM-024, BM-005, WM-009,22,0,2,0,0,0,1
5,3602,1,8,18,19,19,19,18,18,19, BM-018, BM-011, WM-011,35,0,2,0,0,10,0
5,3863,0,2,2,0,2,0,1,0,0, WM-006, BM-023, WM-028,26,0,1,0,0,0,0
5,4122,0,6,6,3,4,6,6,6,5, WF-001, BF-003, WF-003,25,1,1,0,0,0,1
5,4342,1,8,13,14,17,16,13,7,12, BM-010, BM-016, WM-019,23,0,2,0,0,2,1
5,4444,0,10,13,17,16,12,15,16,17, WF-003, BF-004, WF-005,25,1,1,0,0,2,1
5,4724,1,1,1,1,1,3,2,4,3, empty,NA,NA,64,1,2,0,0,1,0
5,4996,0,1,17,11,16,16,11,9,6, WM-003, BM-010, WM-010,27,0,1,0,0,1,1
5,5307,0,4,17,19,18,18,18,13,13, BM-021, BM-021, WM-023,36,0,2,0,0,4,1
5,5433,1,8,15,3,12,13,7,12,12, BF-002, BF-002, WF-022,20,1,2,0,0,1,1
5,5543,1,3,15,17,19,18,16,6,11, WM-018, BM-044, WM-225,45,0,1,0,0,3,0
5,5882,1,2,10,7,12,8,11,7,9, BM-033, BM-033, WM-220,44,0,2,0,0,0,1
5,6096,1,9,10,7,11,9,8,10,11, BM-009, BM-009, WM-001,20,0,2,0,0,1,0
5,6129,0,1,10,8,13,10,11,6,5, BM-015, BM-024, WM-031,28,0,2,0,0,1,1
5,6170,1,9,20,18,20,19,20,20,19, BM-017, BM-004, WM-002,29,0,2,0,1,8,0
5,6251,0,4,19,19,18,15,18,15,19, BM-020, BM-017, WM-012,33,0,2,0,0,5,1
5,6377,1,7,14,16,17,15,16,17,17, WM-010, BM-001, WM-003,27,0,1,0,0,2,1
5,6586,1,5,15,17,20,17,19,18,19, WF-237, BF-211, WF-237,53,1,1,0,0,6,1
5,7003,1,2,16,20,18,20,18,17,17, empty,NA,NA,61,0,2,0,0,20,0
5,7258,1,7,18,19,20,19,18,18,19, BM-016, BM-026, WM-032,26,0,2,0,0,8,1
5,7457,1,7,18,20,20,20,20,17,18, BM-013, BM-019, WM-026,26,0,2,0,0,5,1
5,7602,1,7,19,19,20,19,20,20,20, BM-004, BM-004, WM-002,31,0,2,0,0,11,1
5,7636,0,2,0,0,1,0,1,0,0, BF-024, BF-024, WF-014,38,1,2,0,0,0,0
5,7958,0,2,11,15,15,15,15,12,13, empty,NA,NA,58,0,1,0,0,5,0
5,9357,0,4,19,18,18,16,19,18,18, BM-044, BM-012, WM-018,36,0,2,0,0,6,0
5,9617,1,4,17,19,20,17,19,18,19, BM-019, BM-002, WM-004,27,0,2,0,0,4,1
5,9833,0,1,7,3,5,8,1,5,5, empty,NA,NA,67,0,1,0,0,0,1
5,10076,0,4,18,17,18,15,20,18,19, BM-037, BM-201, WM-035,21,0,2,0,0,2,1
5,10319,1,1,9,16,13,11,15,6,6, BM-012, BM-012, WM-018,43,0,2,0,0,3,1
5,10327,0,5,5,2,1,1,4,0,1, WM-009, BM-027, WM-033,23,0,1,0,0,0,0
5,10401,0,1,3,0,0,2,1,4,2, WF-221, BF-203, WF-221,47,1,1,0,0,0,0
5,10706,0,7,3,1,1,5,2,6,1, BM-206, BM-044, WM-225,42,0,2,0,0,0,0
6,206,1,4,18,19,20,20,18,19,18, WF-002, BF-007, WF-002,29,1,1,0,1,10,1
6,227,1,3,6,6,4,4,8,3,2, BF-009, BF-007, WF-002,31,1,2,0,0,0,1
6,552,1,6,15,14,16,14,18,10,12, WM-019, BM-015, WM-017,22,0,1,0,0,2,0
6,800,1,8,1,0,0,2,1,1,3, BM-034, BM-212, WM-223,55,0,2,0,0,0,0
6,893,0,1,3,0,2,3,3,3,6, LM-201, BM-011, WM-011,31,0,3,0,0,0,0
6,1865,0,1,3,3,6,5,4,5,4, WM-018, BM-021, WM-023,36,0,1,0,0,0,1
6,2476,1,8,19,20,20,20,18,18,18, BM-003, BM-019, WM-026,26,0,2,0,1,13,1
6,2605,0,8,6,9,4,10,7,5,9, LM-226, BM-044, WM-225,45,0,3,0,0,1,0
6,2758,0,2,5,6,1,4,3,4,2, BM-002, BM-016, WM-019,25,0,2,0,0,0,1
6,2955,0,2,6,6,5,2,11,6,8, BM-018, BM-022, WM-016,30,0,2,0,0,1,0
6,3215,0,1,2,2,1,3,3,2,2, WM-249, BM-213, WM-248,52,0,1,0,0,0,0
6,3289,0,6,19,20,20,20,19,20,20, BM-025, BM-025, WM-201,38,0,2,0,0,15,1
6,3790,0,3,13,11,11,10,9,7,9, WM-012, BM-011, WM-011,29,0,1,0,0,1,1
6,4101,1,10,19,19,20,20,19,20,18, BM-004, BM-004, WM-002,31,0,2,0,2,8,0
6,4226,1,4,15,19,19,18,16,17,16, WM-002, BM-018, WM-013,31,0,1,0,0,3,1
6,4258,0,2,2,2,1,3,1,6,2, WM-003, BM-001, WM-003,25,0,1,0,0,0,0
