"","feature(race-gender-age)","defendant_id","image_id","index_per_block","block"
"246","2-1-4","2773","BF-211",2,4
"247","1-0-4","2780","WM-249",2,9
"248","1-0-4","2790","WM-249",2,5
"249","1-0-1","2794","WM-003",1,18
"250","2-0-1","2809","BM-005",4,19
"251","1-0-4","2820","WM-249",2,17
"252","1-0-1","2841","WM-003",1,10
"253","1-0-3","2843","WM-018",1,18
"254","2-0-2","2854","BM-004",1,7
"255","2-0-1","2865","BM-002",2,13
"256","2-0-2","2874","BM-017",3,16
"257","1-0-1","2897","WM-003",1,7
"258","1-1-2","2898","WF-002",1,11
"259","2-0-1","2901","BM-010",5,5
"260","2-0-1","2907","BM-001",1,11
"261","1-0-3","2910","WM-018",1,1
"262","2-0-2","2914","BM-018",4,16
"263","1-0-1","2917","WM-003",1,12
"264","2-0-2","2930","BM-017",3,17
"265","2-0-1","2934","BM-010",5,20
"266","1-0-0","2937","WM-001",1,7
"267","1-0-3","2943","WM-023",2,18
"268","2-0-2","2955","BM-004",1,6
"269","2-0-1","2959","BM-003",3,12
"270","1-0-4","3010",NA,3,2
"271","1-0-4","3019",NA,3,19
"272","2-0-2","3022","BM-020",5,12
"273","2-0-4","3055","BM-244",2,10
"274","2-0-1","3056","BM-003",3,8
"275","2-1-4","3084","BF-203",1,10
"276","1-0-0","3110","WM-001",1,10
"277","3-0-2","3113","LM-201",1,13
"278","2-1-3","3115","BF-024",1,1
"279","1-0-4","3122","WM-249",2,7
"280","2-0-2","3145","BM-004",1,5
"281","3-0-3","3146","LM-204",1,8
"282","2-0-1","3182","BM-005",4,12
"283","1-0-4","3205","WM-223",1,20
"284","1-0-4","3215","WM-223",1,6
"285","1-0-1","3229","WM-006",3,17
"286","1-0-3","3234","WM-023",2,3
"287","2-0-2","3236","BM-011",2,20
"288","1-0-2","3246","WM-002",1,7
"289","1-0-4","3248",NA,4,2
"290","2-0-4","3255","BM-245",3,10
"291","2-0-0","3273","BM-036",2,20
"292","2-0-4","3285","BM-225",1,20
"293","2-0-3","3289","BM-012",1,6
"294","1-1-1","3293","WF-001",1,11
"295","1-0-2","3298","WM-011",2,9
"296","1-0-1","3309","WM-003",1,5
"297","1-0-4","3315","WM-223",1,4
"298","2-0-1","3322","BM-013",6,5
"299","2-0-2","3337","BM-017",3,14
"300","2-1-3","3347","BF-027",2,11
"301","2-0-4","3387",NA,4,14
"302","2-0-0","3398","BM-009",1,1
"303","1-1-0","3408","WF-022",1,7
"304","1-0-1","3412","WM-006",3,11
"305","1-0-1","3438","WM-004",2,16
"306","1-0-4","3444",NA,3,17
"307","2-0-4","3480","BM-244",2,13
"308","1-0-3","3483","WM-018",1,8
"309","1-0-3","3488","WM-023",2,13
"310","2-1-0","3508","BF-002",1,12
"311","1-0-3","3510","WM-201",3,3
"312","1-0-1","3511","WM-004",2,20
"313","1-0-1","3552","WM-004",2,7
"314","2-0-4","3562","BM-245",3,11
"315","2-0-1","3574","BM-002",2,7
"316","1-0-4","3585",NA,4,8
"317","2-0-2","3602","BM-011",2,5
"318","1-1-3","3631","WF-026",2,14
"319","2-1-1","3635","BF-003",2,1
"320","2-1-4","3636","BF-203",1,13
"321","1-0-1","3641","WM-004",2,10
"322","2-0-3","3642","BM-012",1,7
"323","2-0-0","3647","BM-009",1,2
"324","2-0-1","3656","BM-010",5,19
"325","2-1-2","3674","BF-007",1,16
"326","2-0-4","3676","BM-225",1,17
"327","1-1-4","3679","WF-240",1,20
"328","2-0-3","3692","BM-021",2,7
"329","2-0-1","3722","BM-003",3,14
"330","2-0-1","3732","BM-010",5,1
"331","1-0-1","3738","WM-003",1,4
"332","2-0-3","3751","BM-025",3,19
"333","2-0-3","3761","BM-012",1,8
"334","2-1-3","3768","BF-024",1,3
"335","1-0-4","3774",NA,3,15
"336","1-0-3","3783","WM-018",1,7
"337","1-0-3","3788","WM-018",1,19
"338","1-0-2","3790","WM-002",1,6
"339","2-0-4","3794","BM-244",2,4
"340","1-0-1","3805","WM-004",2,15
"341","2-0-1","3818","BM-005",4,14
"342","1-0-4","3841","WM-223",1,14
"343","2-0-1","3847","BM-010",5,18
"344","2-0-1","3848","BM-005",4,4
"345","2-0-1","3854","BM-005",4,2
"346","1-0-1","3863","WM-004",2,5
"347","2-0-1","3869","BM-013",6,20
"348","4-0-4","3919","AM-215",1,20
"349","2-0-1","3925","BM-010",5,14
"350","1-0-3","3941","WM-018",1,17
"351","1-0-3","3950","WM-018",1,11
"352","1-0-3","3952","WM-018",1,10
"353","3-0-1","3957","LM-200",1,1
"354","2-0-3","3999","BM-012",1,15
"355","2-1-2","4028","BF-010",3,7
"356","3-0-1","4029","LM-200",1,3
"357","2-0-2","4076","BM-017",3,8
"358","1-0-1","4082","WM-004",2,3
"359","2-0-1","4098","BM-010",5,2
"360","2-0-2","4101","BM-011",2,6
"361","1-0-2","4105","WM-011",2,1
"362","2-0-0","4112","BM-036",2,16
"363","1-1-4","4117","WF-240",1,4
"364","1-1-1","4122","WF-001",1,5
"365","2-0-2","4126","BM-011",2,3
"366","2-0-2","4139","BM-004",1,11
"367","1-0-3","4159","WM-023",2,15
"368","2-0-4","4161","BM-245",3,2
"369","1-1-3","4164","WF-026",2,18
"370","2-0-1","4165","BM-002",2,11
"371","1-0-2","4182","WM-002",1,10
"372","1-0-4","4186",NA,3,12
"373","3-0-4","4193","LM-203",1,4
"374","1-0-2","4226","WM-011",2,6
"375","1-0-1","4255","WM-004",2,8
"376","1-0-1","4258","WM-004",2,6
"377","1-0-4","4288",NA,4,15
"378","2-0-2","4290","BM-011",2,4
"379","2-0-3","4335","BM-021",2,14
"380","2-0-1","4336","BM-013",6,14
"381","2-0-1","4342","BM-015",7,5
"382","3-0-1","4368","LM-200",1,18
"383","1-0-4","4371",NA,4,12
"384","2-0-3","4397","BM-021",2,15
"385","2-0-3","4403","BM-025",3,7
"386","2-1-1","4404","BF-001",1,6
"387","2-0-3","4408","BM-021",2,16
"388","2-1-4","4421","BF-203",1,17
"389","1-1-4","4426","WF-240",1,3
"390","2-0-1","4436","BM-005",4,8
"391","1-1-4","4441","WF-240",1,9
"392","1-1-1","4444","WF-003",2,5
"393","1-0-4","4461","WM-223",1,3
"394","2-0-4","4476","BM-245",3,13
"395","1-0-4","4510",NA,3,9
"396","2-0-1","4518","BM-003",3,16
"397","2-1-2","4520","BF-007",1,10
"398","1-0-0","4524","WM-024",2,10
"399","2-1-2","4534","BF-009",2,16
"400","1-1-4","4536","WF-246",2,20
"401","2-0-2","4546","BM-018",4,2
"402","3-0-2","4553","LM-201",1,20
"403","1-0-2","4558","WM-002",1,4
"404","4-0-3","4593","AM-219",1,10
"405","2-0-4","4596","BM-244",2,17
"406","1-0-4","4609",NA,3,7
"407","1-0-2","4612","WM-002",1,13
"408","1-0-3","4620","WM-220",4,3
"409","1-0-4","4629",NA,5,2
"410","1-0-1","4634","WM-009",4,17
"411","2-0-3","4637","BM-021",2,6
"412","2-0-1","4640","BM-013",6,2
"413","1-1-2","4641","WF-002",1,16
"414","2-0-2","4643","BM-022",6,12
"415","1-0-2","4655","WM-011",2,7
"416","2-1-4","4686","BF-203",1,6
"417","1-0-4","4692",NA,4,19
"418","1-0-4","4694","WM-223",1,11
"419","1-0-3","4701","WM-023",2,12
"420","3-0-1","4703","LM-206",2,3
"421","1-0-2","4719","WM-002",1,18
"422","2-1-4","4724","BF-203",1,5
"423","1-0-0","4730","WM-001",1,8
"424","2-1-2","4748","BF-009",2,10
"425","2-0-4","4754",NA,4,10
"426","3-0-2","4761","LM-201",1,14
"427","1-0-1","4766","WM-003",1,1
"428","1-0-3","4767","WM-023",2,1
"429","1-0-4","4774","WM-249",2,20
"430","2-0-3","4776","BM-025",3,14
"431","1-1-3","4809","WF-014",1,20
"432","2-0-4","4820","BM-245",3,18
"433","1-0-1","4833","WM-004",2,19
"434","2-1-1","4834","BF-001",1,13
"435","2-0-3","4835","BM-012",1,11
"436","1-0-4","4841","WM-223",1,1
"437","2-1-1","4860","BF-001",1,2
"438","1-0-1","4870","WM-006",3,10
"439","2-1-1","4873","BF-003",2,16
"440","2-0-2","4881","BM-029",7,12
"441","2-0-2","4907","BM-017",3,6
"442","1-0-4","4931",NA,5,15
"443","2-0-3","4933","BM-012",1,13
"444","2-0-2","4940","BM-032",8,12
"445","2-0-4","4943",NA,4,2
"446","2-0-2","4967","BM-018",4,6
"447","2-0-0","4971","BM-009",1,18
"448","1-0-3","4977","WM-201",3,2
"449","2-0-4","4991",NA,5,2
"450","1-0-1","4996","WM-006",3,5
"451","2-0-1","5001","BM-015",7,20
"452","2-0-1","5027","BM-003",3,7
"453","2-0-4","5042","BM-244",2,15
"454","1-1-1","5049","WF-003",2,2
"455","1-0-4","5052",NA,6,15
"456","2-1-4","5057","BF-203",1,7
"457","2-0-1","5069","BM-005",4,10
"458","2-0-2","5074","BM-011",2,9
"459","2-1-3","5096","BF-024",1,9
"460","3-0-2","5103","LM-202",2,20
"461","1-0-4","5114",NA,4,7
"462","2-0-2","5123","BM-018",4,17
"463","1-1-1","5127","WF-001",1,4
"464","3-0-3","5128","LM-204",1,13
"465","1-0-1","5134","WM-006",3,6
"466","1-0-0","5138","WM-001",1,13
"467","3-0-3","5177","LM-204",1,19
"468","3-0-2","5213","LM-201",1,3
"469","2-0-3","5217","BM-012",1,3
"470","2-1-1","5223","BF-003",2,7
"471","2-0-1","5224","BM-010",5,8
"472","2-0-1","5249","BM-010",5,10
"473","2-0-0","5263","BM-009",1,7
"474","2-0-2","5270","BM-020",5,2
"475","2-1-2","5297","BF-007",1,20
"476","2-0-3","5307","BM-021",2,5
"477","1-0-2","5326","WM-012",3,15
"478","2-0-2","5330","BM-020",5,6
"479","1-0-4","5342",NA,4,9
"480","1-0-0","5349","WM-001",1,17
"481","2-0-1","5352","BM-001",1,3
"482","2-0-1","5354","BM-013",6,8
"483","2-0-4","5369",NA,5,10
"484","2-0-1","5370","BM-001",1,9
"485","2-1-2","5372","BF-010",3,10
"486","2-1-0","5383","BF-002",1,7
"487","2-0-2","5387","BM-011",2,10
"488","2-0-1","5420","BM-002",2,9
"489","1-0-4","5432","WM-249",2,14
"490","2-1-0","5433","BF-002",1,5
"491","2-0-0","5438","BM-036",2,1
"492","1-0-2","5449","WM-011",2,4
"493","1-1-1","5454","WF-001",1,12
"494","2-0-1","5485","BM-015",7,8
"495","2-0-1","5489","BM-010",5,4
"496","1-0-4","5500",NA,6,2
"497","1-0-1","5506","WM-009",4,11
"498","2-0-4","5515","BM-245",3,17
"499","1-0-0","5535","WM-024",2,13
"500","1-0-4","5543",NA,3,5
"501","2-1-1","5544","BF-004",3,14
"502","1-0-1","5553","WM-006",3,8
"503","2-0-4","5557","BM-244",2,1
"504","1-0-2","5563","WM-011",2,10
"505","2-1-2","5575","BF-009",2,6
"506","1-0-3","5593","WM-201",3,1
"507","2-0-1","5600","BM-003",3,9
"508","1-0-3","5607","WM-221",5,3
"509","2-0-2","5614","BM-017",3,3
"510","1-0-2","5623","WM-012",3,10
"511","1-0-3","5634","WM-018",1,14
"512","1-1-4","5635","WF-246",2,12
"513","2-0-1","5646","BM-013",6,18
"514","2-1-3","5647","BF-027",2,1
"515","2-0-1","5650","BM-005",4,16
"516","1-1-1","5655","WF-001",1,16
"517","2-0-2","5669","BM-017",3,19
"518","1-0-0","5670","WM-001",1,9
"519","2-0-2","5673","BM-017",3,10
"520","2-0-3","5678","BM-021",2,12
"521","1-0-1","5689","WM-010",5,11
"522","2-0-3","5727","BM-021",2,13
"523","2-0-2","5745","BM-017",3,9
"524","2-0-2","5754","BM-018",4,19
"525","1-0-3","5760","WM-023",2,19
"526","2-0-4","5765",NA,6,2
"527","2-1-3","5793","BF-024",1,16
"528","1-0-4","5801",NA,3,18
"529","2-0-1","5818","BM-005",4,17
"530","1-0-2","5821","WM-012",3,9
"531","2-0-1","5825","BM-013",6,19
"532","1-0-1","5830","WM-004",2,4
"533","1-1-1","5850","WF-001",1,7
"534","2-1-4","5852","BF-211",2,6
"535","2-0-2","5877","BM-017",3,20
"536","2-0-4","5882","BM-225",1,5
"537","1-0-4","5886",NA,5,7
"538","2-0-2","5917","BM-018",4,3
"539","1-0-4","5921",NA,3,13
"540","1-0-2","5923","WM-012",3,6
"541","2-0-1","5935","BM-002",2,15
"542","1-0-4","5939","WM-249",2,11
"543","3-1-2","5951","LF-200",1,15
"544","1-0-4","5968",NA,3,10
"545","1-0-4","5985","WM-249",2,4
"546","1-0-4","5993",NA,6,7
"547","1-0-1","5997","WM-006",3,20
"548","2-1-1","6000","BF-003",2,12
"549","1-0-4","6022",NA,4,13
"550","1-0-4","6043","WM-249",2,16
"551","1-0-2","6056","WM-002",1,17
"552","1-1-2","6064","WF-002",1,1
"553","1-0-2","6094","WM-002",1,19
"554","2-0-0","6096","BM-036",2,5
"555","2-0-1","6129","BM-016",8,5
"556","2-1-3","6164","BF-202",3,11
"557","2-0-2","6170","BM-017",3,5
"558","2-1-4","6171","BF-234",3,4
"559","1-1-4","6189","WF-240",1,2
"560","2-0-4","6205","BM-244",2,8
"561","2-0-3","6207","BM-012",1,2
"562","1-0-3","6229","WM-023",2,6
"563","2-0-4","6240",NA,7,2
"564","1-0-3","6249","WM-201",3,15
"565","2-0-2","6251","BM-018",4,5
"566","2-1-2","6264","BF-010",3,16
"567","1-1-4","6267","WF-240",1,19
"568","2-1-2","6278","BF-011",4,16
"569","1-0-0","6314","WM-001",1,3
"570","2-0-2","6315","BM-018",4,20
"571","2-0-1","6319","BM-005",4,7
"572","2-0-3","6320","BM-033",4,14
"573","2-0-4","6339",NA,4,11
"574","1-0-3","6360","WM-023",2,10
"575","1-0-1","6377","WM-009",4,5
"576","1-0-1","6379","WM-009",4,6
"577","3-0-1","6386","LM-200",1,4
"578","1-1-2","6389","WF-002",1,19
"579","2-0-1","6391","BM-016",8,20
"580","2-0-1","6420","BM-015",7,19
"581","3-0-4","6424","LM-222",2,6
"582","1-1-3","6432","WF-014",1,16
"583","1-0-1","6443","WM-009",4,8
"584","2-0-4","6449",NA,6,10
"585","2-1-1","6481","BF-004",3,16
"586","3-0-3","6503","LM-204",1,16
"587","1-0-4","6525",NA,3,14
"588","1-0-1","6537","WM-004",2,18
"589","3-0-1","6546","LM-206",2,4
"590","1-0-4","6570",NA,5,13
"591","2-1-2","6574","BF-007",1,12
"592","1-1-4","6586","WF-240",1,5
"593","2-0-3","6595","BM-012",1,9
"594","2-0-4","6606",NA,4,17
"595","2-0-4","6631",NA,4,13
"596","2-0-3","6658","BM-021",2,8
"597","1-0-1","6661","WM-006",3,13
"598","2-0-2","6668","BM-011",2,11
"599","2-1-1","6683","BF-003",2,3
"600","1-0-3","6687","WM-023",2,11
"601","2-0-1","6690","BM-013",6,10
"602","2-0-1","6744","BM-016",8,19
"603","2-0-2","6766","BM-017",3,18
"604","1-1-3","6769","WF-026",2,12
"605","2-0-4","6788","BM-244",2,20
"606","2-0-4","6791","BM-244",2,16
"607","1-0-4","6801",NA,7,7
"608","2-0-1","6805","BM-019",9,19
"609","1-1-4","6818","WF-246",2,17
"610","2-0-2","6862","BM-018",4,9
"611","2-0-1","6864","BM-003",3,15
"612","1-0-1","6875","WM-006",3,16
"613","1-0-2","6884","WM-012",3,2
"614","2-0-2","6908","BM-022",6,6
"615","3-0-0","6911","LM-207",1,17
"616","2-0-1","6916","BM-005",4,9
"617","1-0-4","6939",NA,4,17
"618","1-1-4","6963","WF-240",1,18
"619","2-1-1","6980","BF-004",3,7
"620","2-1-0","6996","BF-002",1,14
"621","2-0-4","7003","BM-244",2,5
"622","2-0-4","7010","BM-245",3,3
"623","2-0-1","7012","BM-010",5,7
"624","1-0-1","7023","WM-009",4,20
"625","1-1-4","7032","WF-246",2,2
"626","2-0-1","7037","BM-010",5,16
"627","2-0-4","7051","BM-245",3,16
"628","1-0-1","7079","WM-006",3,3
"629","1-1-1","7084","WF-001",1,19
"630","2-0-2","7099","BM-018",4,10
"631","2-0-4","7112","BM-225",1,12
"632","2-0-1","7123","BM-015",7,14
"633","3-0-4","7148","LM-203",1,10
"634","2-0-0","7153","BM-037",3,20
"635","2-1-2","7166","BF-007",1,15
"636","1-0-1","7170","WM-009",4,3
"637","2-0-4","7178","BM-225",1,9
"638","2-0-1","7199","BM-013",6,4
"639","3-0-3","7206","LM-204",1,15
"640","2-0-2","7219","BM-020",5,3
"641","2-0-1","7224","BM-002",2,3
"642","2-0-3","7231","BM-033",4,19
"643","3-0-3","7234","LM-204",1,12
"644","2-0-1","7245","BM-013",6,7
"645","2-1-1","7247","BF-001",1,11
"646","1-0-1","7257","WM-010",5,8
"647","2-0-1","7258","BM-019",9,5
"648","1-0-1","7259","WM-010",5,6
"649","1-1-4","7269","WF-246",2,18
"650","2-1-3","7298","BF-024",1,19
"651","2-0-1","7315","BM-003",3,3
"652","1-0-1","7320","WM-006",3,15
"653","2-0-3","7323","BM-021",2,9
"654","1-0-2","7324","WM-012",3,1
"655","2-0-1","7334","BM-023",10,19
"656","1-1-2","7340","WF-002",1,8
"657","2-0-1","7341","BM-005",4,15
"658","2-0-3","7348","BM-025",3,6
"659","1-1-2","7355","WF-002",1,14
"660","2-1-4","7381","BF-211",2,13
"661","2-0-2","7411","BM-018",4,18
"662","1-0-1","7412","WM-004",2,1
"663","3-0-1","7416","LM-208",3,3
"664","2-0-1","7427","BM-010",5,12
"665","1-1-2","7437","WF-002",1,4
"666","3-0-2","7445","LM-201",1,8
"667","2-0-1","7455","BM-010",5,17
"668","2-0-1","7457","BM-023",10,5
"669","2-0-1","7459","BM-010",5,15
"670","1-0-3","7468","WM-023",2,7
"671","1-0-4","7472","WM-249",2,6
