def_id,image_id
5177, LM-228
5669, BM-004
5754, BM-020
5760, WM-201
5825, BM-013
6094, WM-002
6267, WF-221
6389, WF-002
6420, BM-019
6744, BM-015
6805, BM-003
7084, WF-001
7231, BM-033
7298, BF-024
7334, BM-023
7631, WM-006
8149, WM-009
8530, LM-226
9221, WM-003
10277, BM-011
10302, empty
10334, BM-009
10336, BM-017
10383, BM-005
10412, WM-221
10544, empty
10673, BF-007
10699, empty
173, BM-017
203, BF-004
1215, empty
1216, WM-010
1283, BM-009
1331, BM-002
1670, BM-019
2310, BM-003
2507, BM-015
2934, BM-016
3205, WM-221
3236, BM-020
3273, BM-036
3285, BM-034
3511, WM-003
3679, WF-221
3869, BM-005
3919, AM-215
4536, WF-026
4553, LM-202
4774, empty
4809, WF-014
5001, BM-023
5103, LM-201
5297, BF-007
5877, BM-018
5997, WM-006
6315, BM-011
6391, BM-013
6788, empty
7023, WM-004
7153, BM-037
7722, BF-005
7923, empty
7945, WM-017
7975, WM-015
8207, WM-002
8876, BM-022
9165, BM-010
9337, WM-201
9442, BM-001
9473, BM-012
9581, BF-003
9875, BM-004
10012, BF-001
10068, WM-009
10289, WM-023
10377, WM-018
10394, BM-029
10720, BM-024
