conditionID,raceTextShown,imageShown,blockID,defID,groundTruth,compasScore,turkerScore,turkerScore1to10,imageID,defEthnicity,defGender,defAge,defJuvFelCount,defJuvMisdCount,defPriorsCount,defChargeID,defChargeDegree
4,0,0,4,10700,1,10,10,10, BM-012,2,0,36,1,2,14,306,1
1,1,1,11,10703,0,7,9.5,9.55, BM-012,2,0,43,0,1,23,114,1
2,1,0,11,10703,0,7,10,10, BM-012,2,0,43,0,1,23,114,1
3,0,1,11,10703,0,7,10,10, BM-012,2,0,43,0,1,23,114,1
4,0,0,11,10703,0,7,10,10, BM-012,2,0,43,0,1,23,114,1
1,1,1,5,10706,0,7,0.5,1.45, BM-206,2,0,42,0,0,0,283,0
2,1,0,5,10706,0,7,0,1, BM-206,2,0,42,0,0,0,283,0
3,0,1,5,10706,0,7,1.5,2.35, BM-206,2,0,42,0,0,0,283,0
4,0,0,5,10706,0,7,1.5,2.35, BM-206,2,0,42,0,0,0,283,0
1,1,1,4,10709,0,1,1,1.9, empty,1,0,74,0,0,0,219,0
2,1,0,4,10709,0,1,0,1, empty,1,0,74,0,0,0,219,0
3,0,1,4,10709,0,1,1,1.9, empty,1,0,74,0,0,0,219,0
4,0,0,4,10709,0,1,0,1, empty,1,0,74,0,0,0,219,0
1,1,1,20,10720,1,6,4.5,5.05, BM-024,2,0,22,0,0,1,45,0
2,1,0,20,10720,1,6,5,5.5, BM-024,2,0,22,0,0,1,45,0
3,0,1,20,10720,1,6,3,3.7, BM-024,2,0,22,0,0,1,45,0
4,0,0,20,10720,1,6,4,4.6, BM-024,2,0,22,0,0,1,45,0
1,1,1,7,10721,0,2,7.5,7.75, WM-221,1,0,50,0,0,4,123,0
2,1,0,7,10721,0,2,8,8.2, WM-221,1,0,50,0,0,4,123,0
3,0,1,7,10721,0,2,8.5,8.65, WM-221,1,0,50,0,0,4,123,0
4,0,0,7,10721,0,2,8,8.2, WM-221,1,0,50,0,0,4,123,0
1,1,1,2,10748,0,1,2.5,3.25, WM-225,1,0,44,0,0,1,45,0
2,1,0,2,10748,0,1,4,4.6, WM-225,1,0,44,0,0,1,45,0
3,0,1,2,10748,0,1,4,4.6, WM-225,1,0,44,0,0,1,45,0
4,0,0,2,10748,0,1,1,1.9, WM-225,1,0,44,0,0,1,45,0
