campaignNumber,blockID,defID,imageBW,imageID,groundTruth,compasScore,turkerScore1to10,defAge,defGender,defRace,defJuvFelCount,defJuvMisdCount,defPriorsCount,defChargeID,defChargeDegree
study2,3,7840,1, WM-015,0,2,7.3,22,0,1,0,0,1,190,1
study2,3,8099,0, BM-002,0,1,2.8,28,0,1,0,0,0,45,0
study2,3,8099,1, WM-004,0,1,1.9,28,0,1,0,0,0,45,0
study2,3,8909,0, BM-225,0,1,2.8,46,0,1,0,0,0,127,0
study2,3,8909,1, empty2,0,1,1.9,46,0,1,0,0,0,127,0
study2,3,9889,0, BM-011,0,6,8.2,35,0,2,0,0,9,303,1
study2,3,9889,1, WM-011,0,6,9.55,35,0,2,0,0,9,303,1
study2,3,10448,0, BM-212,1,4,10,48,0,2,0,0,11,337,0
study2,3,10448,1, WM-223,1,4,9.55,48,0,2,0,0,11,337,0
study2,4,853,0, BM-034,0,3,5.95,50,0,2,0,0,3,45,0
study2,4,853,1, WM-221,0,3,5.05,50,0,2,0,0,3,45,0
study2,4,1162,0, BM-005,1,7,9.1,26,0,2,0,0,5,186,1
study2,4,1162,1, WM-009,1,7,8.2,26,0,2,0,0,5,186,1
study2,4,1385,0, BM-002,1,2,8.65,28,0,2,0,0,4,45,0
study2,4,1385,1, WM-004,1,2,6.85,28,0,2,0,0,4,45,0
study2,4,1856,0, BM-036,0,4,6.4,21,0,1,0,0,1,49,1
study2,4,1856,1, WM-024,0,4,5.05,21,0,1,0,0,1,49,1
study2,4,2773,0, BF-203,1,7,8.65,49,1,2,0,0,14,45,0
study2,4,2773,1, WF-221,1,7,8.65,49,1,2,0,0,14,45,0
study2,4,3315,0, empty2,0,1,1.45,62,0,1,0,0,0,31,0
study2,4,3315,1, empty2,0,1,1,62,0,1,0,0,0,31,0
study2,4,3738,0, BM-013,0,9,8.2,28,0,1,0,0,14,246,1
study2,4,3738,1, WM-015,0,9,9.1,28,0,1,0,0,14,246,1
study2,4,3794,0, BM-212,1,7,1.45,46,0,2,0,0,0,246,1
study2,4,3794,1, WM-223,1,7,1.45,46,0,2,0,0,0,246,1
study2,4,3848,0, BM-023,1,8,9.1,26,0,2,0,0,5,11,1
study2,4,3848,1, WM-028,1,8,9.55,26,0,2,0,0,5,11,1
study2,4,4193,0, BM-012,0,1,1,44,0,3,0,0,0,45,0
study2,4,4193,1, WM-018,0,1,1.9,44,0,3,0,0,0,45,0
study2,4,4558,0, BM-004,0,1,1.45,33,0,1,0,0,0,336,1
study2,4,4558,1, WM-002,0,1,2.8,33,0,1,0,0,0,336,1
study2,4,5127,0, BF-001,0,4,1.9,25,1,1,0,0,0,128,0
study2,4,5127,1, WF-001,0,4,1.45,25,1,1,0,0,0,128,0
study2,4,5449,0, BM-011,0,3,3.7,32,0,1,0,0,1,64,1
study2,4,5449,1, WM-011,0,3,3.7,32,0,1,0,0,1,64,1
study2,4,5489,0, BM-003,1,8,9.55,24,0,2,0,0,7,21,1
study2,4,5489,1, WM-006,1,8,9.55,24,0,2,0,0,7,21,1
study2,4,5830,0, BM-019,0,4,8.2,25,0,1,0,0,2,55,1
study2,4,5830,1, WM-026,0,4,7.75,25,0,1,0,0,2,55,1
study2,4,6386,0, BM-015,1,3,8.2,28,0,3,0,0,2,204,1
study2,4,6386,1, WM-017,1,3,8.65,28,0,3,0,0,2,204,1
study2,4,6546,0, BM-016,0,8,6.4,28,0,3,0,0,2,190,1
study2,4,6546,1, WM-019,0,8,7.75,28,0,3,0,0,2,190,1
study2,4,8924,0, BM-001,1,4,5.5,27,0,2,0,0,1,21,1
study2,4,8924,1, WM-003,1,4,3.7,27,0,2,0,0,1,21,1
study2,4,9231,0, BM-018,0,4,6.4,35,0,1,0,0,3,306,1
study2,4,9231,1, WM-013,0,4,8.2,35,0,1,0,0,3,306,1
study2,4,9242,0, BM-021,0,1,1,38,0,1,0,0,0,297,1
study2,4,9242,1, WM-023,0,1,1.9,38,0,1,0,0,0,297,1
study2,4,9352,0, BM-009,0,10,9.1,20,0,1,0,4,4,186,1
study2,4,9352,1, WM-001,0,10,8.65,20,0,1,0,4,4,186,1
study2,4,9919,0, BM-017,0,4,1,32,0,2,0,0,0,303,0
study2,4,9919,1, WM-012,0,4,1.45,32,0,2,0,0,0,303,0
study2,4,9933,0, BM-010,1,10,9.55,27,0,2,2,0,14,159,1
study2,4,9933,1, WM-010,1,10,9.55,27,0,2,2,0,14,159,1
study2,4,10709,0, empty2,0,1,1.45,74,0,1,0,0,0,219,0
study2,4,10709,1, empty2,0,1,1.45,74,0,1,0,0,0,219,0
study2,4,10958,0, BF-211,0,6,5.95,49,1,1,0,0,2,186,1
study2,4,10958,1, WF-237,0,6,5.95,49,1,1,0,0,2,186,1
study2,5,115,0, BF-001,1,4,4.6,26,1,2,0,0,1,252,1
study2,5,115,1, WF-001,1,4,3.7,26,1,2,0,0,1,252,1
study2,5,1044,0, BM-025,0,5,7.3,36,0,2,0,1,4,45,0
study2,5,1044,1, WM-201,0,5,5.95,36,0,2,0,1,4,45,0
study2,5,1130,0, BM-011,1,5,10,30,0,1,0,0,22,306,1
study2,5,1130,1, WM-011,1,5,10,30,0,1,0,0,22,306,1
study2,5,2006,0, BM-002,1,8,1.45,22,0,2,0,0,0,252,1
study2,5,2006,1, WM-004,1,8,1.9,22,0,2,0,0,0,252,1
study2,5,2020,0, BM-005,0,7,9.55,28,0,3,0,0,11,45,0
study2,5,2020,1, WM-009,0,7,10,28,0,3,0,0,11,45,0
study2,5,2156,0, BM-206,1,5,3.25,45,0,1,0,0,1,342,1
study2,5,2156,1, WM-258,1,5,3.25,45,0,1,0,0,1,342,1
study2,5,2195,0, BM-013,1,6,10,25,0,2,0,0,8,190,1
study2,5,2195,1, WM-015,1,6,8.2,25,0,2,0,0,8,190,1
study2,5,2737,0, BM-003,1,8,9.55,26,0,2,0,0,9,126,1
study2,5,2737,1, WM-006,1,8,9.55,26,0,2,0,0,9,126,1
study2,5,2901,0, BM-001,1,9,7.75,26,0,2,0,0,6,303,1
study2,5,2901,1, WM-003,1,9,6.4,26,0,2,0,0,6,303,1
study2,5,3145,0, BM-017,1,5,9.1,30,0,2,0,1,7,285,1
study2,5,3145,1, WM-012,1,5,9.1,30,0,2,0,1,7,285,1
study2,5,3309,0, BM-015,1,5,8.2,26,0,1,0,0,5,382,1
study2,5,3309,1, WM-017,1,5,8.2,26,0,1,0,0,5,382,1
study2,5,3863,0, BM-023,0,2,1,26,0,1,0,0,0,93,0
study2,5,3863,1, WM-028,0,2,1,26,0,1,0,0,0,93,0
study2,5,4342,0, BM-016,1,8,4.15,23,0,2,0,0,2,280,1
study2,5,4342,1, WM-019,1,8,6.4,23,0,2,0,0,2,280,1
study2,5,4996,0, BM-010,0,1,5.05,27,0,1,0,0,1,100,1
study2,5,4996,1, WM-010,0,1,3.7,27,0,1,0,0,1,100,1
study2,5,5307,0, BM-021,0,4,6.4,36,0,2,0,0,4,306,1
study2,5,5307,1, WM-023,0,4,6.85,36,0,2,0,0,4,306,1
study2,5,5543,0, BM-044,1,3,4.15,45,0,1,0,0,3,45,0
study2,5,5543,1, WM-225,1,3,5.95,45,0,1,0,0,3,45,0
study2,5,5882,0, BM-033,1,2,4.15,44,0,2,0,0,0,317,1
study2,5,5882,1, WM-220,1,2,5.05,44,0,2,0,0,0,317,1
study2,5,6129,0, BM-024,0,1,3.7,28,0,2,0,0,1,56,1
study2,5,6129,1, WM-031,0,1,3.25,28,0,2,0,0,1,56,1
study2,5,7003,0, empty2,1,2,8.65,61,0,2,0,0,20,374,0
study2,5,7003,1, empty2,1,2,8.65,61,0,2,0,0,20,374,0
study2,5,7258,0, BM-026,1,7,9.1,26,0,2,0,0,8,85,1
study2,5,7258,1, WM-032,1,7,9.55,26,0,2,0,0,8,85,1
study2,5,7457,0, BM-019,1,7,8.65,26,0,2,0,0,5,61,1
study2,5,7457,1, WM-026,1,7,9.1,26,0,2,0,0,5,61,1
study2,5,7602,0, BM-004,1,7,10,31,0,2,0,0,11,186,1
study2,5,7602,1, WM-002,1,7,10,31,0,2,0,0,11,186,1
study2,5,7636,0, BF-024,0,2,1,38,1,2,0,0,0,151,0
study2,5,7636,1, WF-014,0,2,1,38,1,2,0,0,0,151,0
study2,5,10319,0, BM-012,1,1,3.7,43,0,2,0,0,3,172,1
study2,5,10319,1, WM-018,1,1,3.7,43,0,2,0,0,3,172,1
study2,5,10327,0, BM-027,0,5,1,23,0,1,0,0,0,45,0
study2,5,10327,1, WM-033,0,5,1.45,23,0,1,0,0,0,45,0
study2,6,206,0, BF-007,1,4,10,29,1,1,0,1,10,190,1
study2,6,206,1, WF-002,1,4,9.1,29,1,1,0,1,10,190,1
study2,6,800,0, BM-212,1,8,1.9,55,0,2,0,0,0,45,0
study2,6,800,1, WM-223,1,8,2.8,55,0,2,0,0,0,45,0
study2,6,893,0, BM-011,0,1,2.35,31,0,3,0,0,0,134,0
study2,6,893,1, WM-011,0,1,3.7,31,0,3,0,0,0,134,0
study2,6,1865,0, BM-021,0,1,3.25,36,0,1,0,0,0,159,1
study2,6,1865,1, WM-023,0,1,3.25,36,0,1,0,0,0,159,1
study2,6,2955,0, BM-022,0,2,4.15,30,0,2,0,0,1,45,0
study2,6,2955,1, WM-016,0,2,5.05,30,0,2,0,0,1,45,0
study2,6,4101,0, BM-004,1,10,10,31,0,2,0,2,8,45,0
study2,6,4101,1, WM-002,1,10,9.1,31,0,2,0,2,8,45,0
study2,6,4226,0, BM-018,1,4,8.65,31,0,1,0,0,3,313,1
study2,6,4226,1, WM-013,1,4,8.2,31,0,1,0,0,3,313,1
study2,6,4258,0, BM-001,0,2,3.25,25,0,1,0,0,0,134,0
study2,6,4258,1, WM-003,0,2,1.9,25,0,1,0,0,0,134,0
study2,6,4404,0, BF-001,1,10,6.4,28,1,2,0,0,0,171,1
study2,6,4404,1, WF-001,1,10,5.05,28,1,2,0,0,0,171,1
study2,6,4686,0, BF-203,0,1,1.9,50,1,2,0,0,0,45,0
study2,6,4686,1, WF-221,0,1,2.8,50,1,2,0,0,0,45,0
study2,6,4967,0, BM-029,1,6,10,32,0,2,0,3,10,358,1
study2,6,4967,1, WM-020,1,6,9.55,32,0,2,0,3,10,358,1
study2,6,5575,0, BF-009,1,7,9.55,29,1,2,0,0,9,250,1
study2,6,5575,1, WF-008,1,7,9.55,29,1,2,0,0,9,250,1
study2,6,6424,0, BM-012,0,1,4.15,45,0,3,0,0,1,283,0
study2,6,6424,1, WM-018,0,1,4.6,45,0,3,0,0,1,283,0
study2,6,6908,0, BM-017,1,7,9.1,30,0,2,0,0,21,129,1
study2,6,6908,1, WM-012,1,7,9.55,30,0,2,0,0,21,129,1
study2,6,7348,0, BM-025,0,2,3.25,38,0,2,0,0,0,45,0
study2,6,7348,1, WM-201,0,2,2.8,38,0,2,0,0,0,45,0
study2,6,7472,0, empty2,0,1,1.9,80,0,1,0,0,0,45,0
study2,6,7472,1, empty2,0,1,1.45,80,0,1,0,0,0,45,0
study2,6,7555,0, empty2,0,1,2.35,64,1,1,0,0,0,45,0
study2,6,7555,1, empty2,0,1,1.9,64,1,1,0,0,0,45,0
study2,6,7578,0, BF-024,0,2,6.85,43,1,2,0,0,2,426,0
study2,6,7578,1, WF-014,0,2,5.05,43,1,2,0,0,2,426,0
study2,6,7985,0, BM-020,0,4,5.5,35,0,2,0,0,0,319,1
study2,6,7985,1, WM-014,0,4,5.5,35,0,2,0,0,0,319,1
study2,6,8054,0, BM-213,0,4,8.2,53,0,2,0,0,5,49,1
study2,6,8054,1, WM-248,0,4,8.65,53,0,2,0,0,5,49,1
study2,6,8188,0, BM-002,0,10,8.2,26,0,1,0,0,3,45,0
study2,6,8188,1, WM-004,0,10,8.65,26,0,1,0,0,3,45,0
study2,6,8248,0, BM-003,1,7,10,28,0,1,0,0,5,45,0
study2,6,8248,1, WM-006,1,7,9.1,28,0,1,0,0,5,45,0
study2,6,8905,0, BM-218,0,1,1.9,52,0,1,0,0,0,45,0
study2,6,8905,1, WM-249,0,1,2.8,52,0,1,0,0,0,45,0
study2,6,9045,0, BM-034,0,5,2.35,46,0,1,0,0,0,190,1
study2,6,9045,1, WM-221,0,5,3.25,46,0,1,0,0,0,190,1
study2,6,9150,0, BM-009,1,9,8.65,21,0,1,0,2,2,315,1
study2,6,9150,1, WM-001,1,9,7.75,21,0,1,0,2,2,315,1
study2,7,700,0, BM-005,1,9,10,26,0,2,1,1,10,18,1
study2,7,700,1, WM-009,1,9,10,26,0,2,1,1,10,18,1
study2,7,1871,0, BF-001,1,8,6.4,25,1,2,0,0,2,49,1
study2,7,1871,1, WF-001,1,8,8.65,25,1,2,0,0,2,49,1
study2,7,2353,0, BM-218,0,1,1.9,47,0,1,0,0,0,45,0
study2,7,2353,1, WM-249,0,1,1.45,47,0,1,0,0,0,45,0
study2,7,2718,0, BF-009,1,3,1.45,35,1,2,0,0,0,306,1
study2,7,2718,1, WF-008,1,3,2.35,35,1,2,0,0,0,306,1
study2,7,2854,0, BM-018,1,9,10,31,0,2,0,0,19,129,1
study2,7,2854,1, WM-013,1,9,9.1,31,0,2,0,0,19,129,1
study2,7,2897,0, BM-010,1,7,4.6,28,0,1,0,0,1,306,1
study2,7,2897,1, WM-010,1,7,5.05,28,0,1,0,0,1,306,1
study2,7,2937,0, BM-009,1,5,5.05,20,0,1,0,0,0,190,1
study2,7,2937,1, WM-001,1,5,4.15,20,0,1,0,0,0,190,1
study2,7,3246,0, BM-004,0,3,2.35,30,0,1,0,0,0,134,0
study2,7,3246,1, WM-002,0,3,1.9,30,0,1,0,0,0,134,0
study2,7,3408,0, BF-002,1,3,2.35,19,1,1,0,0,0,170,1
study2,7,3408,1, WF-022,1,3,1,19,1,1,0,0,0,170,1
study2,7,3642,0, BM-021,1,4,7.3,41,0,2,0,0,3,172,1
study2,7,3642,1, WM-023,1,4,7.3,41,0,2,0,0,3,172,1
study2,7,3692,0, BM-025,1,2,9.55,41,0,2,0,0,8,129,1
study2,7,3692,1, WM-201,1,2,8.65,41,0,2,0,0,8,129,1
study2,7,4028,0, BF-007,0,4,1.45,35,1,2,0,0,0,45,0
study2,7,4028,1, WF-002,0,4,1.9,35,1,2,0,0,0,45,0
study2,7,4609,0, BM-213,0,1,1.45,50,0,1,0,0,0,134,0
study2,7,4609,1, WM-248,0,1,2.8,50,0,1,0,0,0,134,0
study2,7,5223,0, BF-003,1,5,6.4,23,1,2,0,0,1,268,1
study2,7,5223,1, WF-003,1,5,5.05,23,1,2,0,0,1,268,1
study2,7,5850,0, BF-004,1,3,8.65,25,1,1,0,0,2,408,0
study2,7,5850,1, WF-005,1,3,8.2,25,1,1,0,0,2,408,0
study2,7,5993,0, BM-212,0,2,1.9,51,0,1,0,0,1,45,0
study2,7,5993,1, WM-223,0,2,2.35,51,0,1,0,0,1,45,0
study2,7,6319,0, BM-001,1,9,8.65,23,0,2,0,0,2,423,0
study2,7,6319,1, WM-003,1,9,9.55,23,0,2,0,0,2,423,0
study2,7,6801,0, BM-012,0,8,3.25,44,0,1,0,0,1,306,1
study2,7,6801,1, WM-018,0,8,3.7,44,0,1,0,0,1,306,1
study2,7,6980,0, BF-005,1,9,10,28,1,2,0,0,13,21,1
study2,7,6980,1, WF-006,1,9,9.55,28,1,2,0,0,13,21,1
study2,7,9268,0, BM-002,1,2,1.9,28,0,1,0,0,1,163,1
study2,7,9268,1, WM-004,1,2,3.25,28,0,1,0,0,1,163,1
study2,7,9524,0, BM-011,0,10,3.25,29,0,1,0,0,1,206,0
study2,7,9524,1, WM-011,0,10,1.9,29,0,1,0,0,1,206,0
study2,7,9979,0, BF-010,0,1,2.8,34,1,1,0,0,1,45,0
study2,7,9979,1, WF-018,0,1,2.8,34,1,1,0,0,1,45,0
study2,7,10134,0, BM-003,1,7,9.1,25,0,3,0,0,6,45,0
study2,7,10134,1, WM-006,1,7,10,25,0,3,0,0,6,45,0
study2,7,10677,0, BM-017,1,9,10,29,0,2,0,0,10,169,1
study2,7,10677,1, WM-012,1,9,10,29,0,2,0,0,10,169,1
study2,7,10721,0, BM-034,0,2,7.75,50,0,1,0,0,4,123,0
study2,7,10721,1, WM-221,0,2,7.3,50,0,1,0,0,4,123,0
study2,8,189,0, BM-212,0,9,7.3,52,0,1,0,0,3,45,0
study2,8,189,1, WM-223,0,9,5.5,52,0,1,0,0,3,45,0
study2,8,265,0, BM-015,1,6,9.1,28,0,2,0,0,6,337,0
study2,8,265,1, WM-017,1,6,8.65,28,0,2,0,0,6,337,0
study2,8,763,0, BM-016,1,5,10,26,0,3,0,0,7,15,1
study2,8,763,1, WM-019,1,5,9.55,26,0,3,0,0,7,15,1
study2,8,765,0, empty2,1,6,10,66,0,2,0,0,33,90,1
