block_id,def_id,ground_truth,compas_score,study1_condition1,study1_condition2,study1_condition3,study1_condition4,def_age,def_gender,def_race,def_juv_fel,def_juv_misd,def_priors,def_charge_degree
3,5614,1,8,15,18,18,17,33,0,2,0,0,2,1
3,5917,1,4,3,9,8,9,32,0,2,0,0,1,0
3,6314,1,6,7,8,6,10,20,0,1,0,0,0,1
3,6683,1,6,19,17,19,16,24,1,2,0,0,3,0
3,7010,1,3,17,15,20,17,54,0,2,0,0,4,1
3,7079,0,7,18,18,20,19,25,0,1,0,0,3,1
3,7170,0,5,8,8,12,11,22,0,1,0,0,0,1
3,7219,0,4,17,18,18,19,32,0,2,0,0,3,1
3,7224,1,3,12,9,13,11,24,0,2,0,0,1,1
3,7315,1,5,16,16,19,14,24,0,2,0,0,2,0
3,7416,0,1,14,18,15,17,26,0,3,0,0,2,0
3,7840,0,2,9,19,12,15,22,0,1,0,0,1,1
3,8099,0,1,3,3,2,3,28,0,1,0,0,0,0
3,8528,0,2,8,12,10,14,32,0,2,0,0,1,1
3,8909,0,1,5,3,2,1,46,0,1,0,0,0,0
3,9428,0,2,18,19,20,19,52,0,1,0,0,7,0
3,9690,0,2,5,3,6,8,26,1,2,0,0,0,0
3,9844,1,1,10,12,12,11,51,0,1,0,0,2,1
3,9889,0,6,18,18,20,20,35,0,2,0,0,9,1
3,10390,1,4,19,20,17,19,29,0,1,0,0,3,1
3,10448,1,4,16,20,19,19,48,0,2,0,0,11,0
3,10762,0,4,8,11,9,7,26,1,3,0,0,1,0
3,10783,0,1,1,1,1,1,66,0,1,0,0,0,0
3,10824,1,4,11,13,13,13,23,1,2,0,0,1,1
3,10919,1,6,19,19,19,20,35,0,2,0,0,12,0
4,42,1,8,15,19,16,17,32,0,2,0,0,4,1
4,685,1,10,15,15,14,14,46,1,2,0,0,2,1
4,853,0,3,15,14,15,12,50,0,2,0,0,3,0
4,1162,1,7,20,19,19,19,26,0,2,0,0,5,1
4,1166,1,9,17,19,16,17,27,0,2,0,0,4,1
4,1385,1,2,18,18,17,18,28,0,2,0,0,4,0
4,1856,0,4,11,13,9,11,21,0,1,0,0,1,1
4,2228,1,4,19,20,19,20,19,0,2,0,2,3,1
4,2773,1,7,18,19,20,19,49,1,2,0,0,14,0
4,3315,0,1,1,1,2,0,62,0,1,0,0,0,0
4,3738,0,9,18,20,19,19,28,0,1,0,0,14,1
4,3794,1,7,1,2,3,2,46,0,2,0,0,0,1
4,3848,1,8,20,19,20,20,26,0,2,0,0,5,1
4,4117,0,1,7,6,10,5,48,1,1,0,0,1,0
4,4193,0,1,3,2,5,1,44,0,3,0,0,0,0
4,4290,0,1,4,6,3,8,29,0,2,0,0,1,0
4,4558,0,1,4,1,4,2,33,0,1,0,0,0,1
4,5127,0,4,4,4,4,1,25,1,1,0,0,0,0
4,5449,0,3,10,10,10,10,32,0,1,0,0,1,1
4,5489,1,8,20,20,20,20,24,0,2,0,0,7,1
4,5830,0,4,20,18,18,17,25,0,1,0,0,2,1
4,5985,0,1,3,1,3,4,65,0,1,0,0,0,0
4,6171,0,1,7,8,5,3,45,1,2,0,0,1,1
4,6386,1,3,17,16,14,16,28,0,3,0,0,2,1
4,6546,0,8,17,17,15,15,28,0,3,0,0,2,1
4,7199,0,6,12,12,8,10,28,0,2,0,0,1,1
4,7437,1,10,18,18,19,20,29,1,1,0,0,20,1
4,7517,0,1,1,1,2,1,41,1,2,0,0,0,0
4,7830,1,5,17,15,14,14,31,1,2,0,0,2,1
4,8532,0,2,14,17,12,13,30,0,2,0,0,1,1
4,8924,1,4,10,7,7,8,27,0,2,0,0,1,1
4,9231,0,4,18,18,17,18,35,0,1,0,0,3,1
4,9242,0,1,3,6,6,5,38,0,1,0,0,0,1
4,9328,0,1,2,3,1,1,41,1,3,0,0,0,1
4,9336,0,4,17,18,18,20,26,0,2,0,0,5,1
4,9352,0,10,20,20,20,19,20,0,1,0,4,4,1
4,9399,1,3,16,16,18,14,43,0,3,0,0,3,0
4,9467,1,7,2,8,3,4,22,0,2,0,0,0,1
4,9586,1,5,3,2,3,2,22,1,2,0,0,0,0
4,9609,1,5,20,20,20,20,32,1,3,0,0,8,0
4,9686,0,4,0,6,5,4,24,0,2,0,0,0,1
4,9820,0,4,14,15,14,14,29,0,2,0,0,2,0
4,9919,0,4,0,3,2,3,32,0,2,0,0,0,0
4,9933,1,10,20,20,20,19,27,0,2,2,0,14,1
4,10137,0,7,3,2,2,3,32,0,2,0,0,0,1
4,10150,1,2,18,18,18,18,28,0,2,0,0,3,0
4,10591,1,5,16,19,19,18,40,0,1,0,0,4,1
4,10700,1,10,20,20,20,20,36,0,2,1,2,14,1
4,10709,0,1,2,0,2,1,74,0,1,0,0,0,0
4,10958,0,6,15,15,13,12,49,1,1,0,0,2,1
5,115,1,4,9,14,16,12,26,1,2,0,0,1,1
5,1044,0,5,17,20,18,19,36,0,2,0,1,4,0
5,1059,0,6,6,6,10,11,24,0,2,0,0,1,0
5,1130,1,5,20,20,20,20,30,0,1,0,0,22,1
5,1160,0,7,4,6,10,3,23,1,2,0,0,0,1
5,1870,0,3,5,6,5,7,20,0,2,0,0,0,1
5,2006,1,8,3,11,11,6,22,0,2,0,0,0,1
5,2020,0,7,20,20,18,19,28,0,3,0,0,11,0
5,2156,1,5,8,9,4,5,45,0,1,0,0,1,1
5,2195,1,6,20,19,18,20,25,0,2,0,0,8,1
5,2502,0,1,4,4,1,3,45,0,3,0,0,0,1
5,2533,1,6,1,5,5,2,19,0,1,0,0,0,0
5,2586,0,1,10,10,9,7,40,0,1,0,0,1,1
5,2737,1,8,20,19,19,19,26,0,2,0,0,9,1
5,2790,0,4,2,3,6,3,43,0,1,0,0,0,0
5,2901,1,9,16,18,18,19,26,0,2,0,0,6,1
5,3145,1,5,20,19,18,19,30,0,2,0,1,7,1
5,3309,1,5,18,17,17,18,26,0,1,0,0,5,1
5,3322,1,4,6,7,6,3,22,0,2,0,0,0,1
5,3602,1,8,19,19,19,18,35,0,2,0,0,10,0
5,3863,0,2,0,2,0,1,26,0,1,0,0,0,0
5,4122,0,6,3,4,6,6,25,1,1,0,0,0,1
5,4342,1,8,14,17,16,13,23,0,2,0,0,2,1
5,4444,0,10,17,16,12,15,25,1,1,0,0,2,1
5,4724,1,1,1,1,3,2,64,1,2,0,0,1,0
5,4996,0,1,11,16,16,11,27,0,1,0,0,1,1
5,5307,0,4,19,18,18,18,36,0,2,0,0,4,1
5,5433,1,8,3,12,13,7,20,1,2,0,0,1,1
5,5543,1,3,17,19,18,16,45,0,1,0,0,3,0
5,5882,1,2,7,12,8,11,44,0,2,0,0,0,1
5,6096,1,9,7,11,9,8,20,0,2,0,0,1,0
5,6129,0,1,8,13,10,11,28,0,2,0,0,1,1
5,6170,1,9,18,20,19,20,29,0,2,0,1,8,0
5,6251,0,4,19,18,15,18,33,0,2,0,0,5,1
5,6377,1,7,16,17,15,16,27,0,1,0,0,2,1
5,6586,1,5,17,20,17,19,53,1,1,0,0,6,1
5,7003,1,2,20,18,20,18,61,0,2,0,0,20,0
5,7258,1,7,19,20,19,18,26,0,2,0,0,8,1
5,7457,1,7,20,20,20,20,26,0,2,0,0,5,1
5,7602,1,7,19,20,19,20,31,0,2,0,0,11,1
5,7636,0,2,0,1,0,1,38,1,2,0,0,0,0
5,7958,0,2,15,15,15,15,58,0,1,0,0,5,0
5,9357,0,4,18,18,16,19,36,0,2,0,0,6,0
5,9617,1,4,19,20,17,19,27,0,2,0,0,4,1
5,9833,0,1,3,5,8,1,67,0,1,0,0,0,1
5,10076,0,4,17,18,15,20,21,0,2,0,0,2,1
5,10319,1,1,16,13,11,15,43,0,2,0,0,3,1
5,10327,0,5,2,1,1,4,23,0,1,0,0,0,0
5,10401,0,1,0,0,2,1,47,1,1,0,0,0,0
5,10706,0,7,1,1,5,2,42,0,2,0,0,0,0
6,206,1,4,19,20,20,18,29,1,1,0,1,10,1
6,227,1,3,6,4,4,8,31,1,2,0,0,0,1
6,552,1,6,14,16,14,18,22,0,1,0,0,2,0
6,800,1,8,0,0,2,1,55,0,2,0,0,0,0
6,893,0,1,0,2,3,3,31,0,3,0,0,0,0
6,1865,0,1,3,6,5,4,36,0,1,0,0,0,1
6,2476,1,8,20,20,20,18,26,0,2,0,1,13,1
6,2605,0,8,9,4,10,7,45,0,3,0,0,1,0
6,2758,0,2,6,1,4,3,25,0,2,0,0,0,1
6,2955,0,2,6,5,2,11,30,0,2,0,0,1,0
6,3215,0,1,2,1,3,3,52,0,1,0,0,0,0
6,3289,0,6,20,20,20,19,38,0,2,0,0,15,1
6,3790,0,3,11,11,10,9,29,0,1,0,0,1,1
6,4101,1,10,19,20,20,19,31,0,2,0,2,8,0
6,4226,1,4,19,19,18,16,31,0,1,0,0,3,1
6,4258,0,2,2,1,3,1,25,0,1,0,0,0,0
6,4404,1,10,11,11,10,12,28,1,2,0,0,0,1
6,4637,1,1,15,11,11,11,36,0,2,0,0,2,1
6,4686,0,1,2,0,2,2,50,1,2,0,0,0,0
6,4907,1,9,19,20,20,19,31,0,2,2,1,16,1
6,4967,1,6,20,20,20,19,32,0,2,0,3,10,1
6,5134,1,9,20,19,19,20,27,0,1,0,0,18,1
6,5330,1,1,1,2,2,2,29,0,2,0,0,0,0
6,5575,1,7,19,19,20,20,29,1,2,0,0,9,1
6,5852,0,1,5,1,2,4,55,1,2,0,0,1,1
6,5923,0,2,13,15,11,15,29,0,1,0,0,2,1
6,6229,1,5,18,19,16,18,38,0,1,0,0,5,0
6,6379,0,6,13,14,12,16,22,0,1,0,0,1,1
6,6424,0,1,6,2,3,5,45,0,3,0,0,1,0
6,6908,1,7,20,20,20,19,30,0,2,0,0,21,1
6,7259,0,5,19,20,19,19,26,0,1,0,0,5,0
6,7348,0,2,0,0,2,2,38,0,2,0,0,0,0
6,7472,0,1,1,0,0,1,80,0,1,0,0,0,0
6,7555,0,1,0,0,1,1,64,1,1,0,0,0,0
6,7578,0,2,14,10,11,12,43,1,2,0,0,2,0
6,7985,0,4,7,3,9,7,35,0,2,0,0,0,1
6,8054,0,4,19,16,18,17,53,0,2,0,0,5,1
6,8188,0,10,18,18,18,20,26,0,1,0,0,3,0
6,8248,1,7,19,20,19,20,28,0,1,0,0,5,0
6,8881,1,10,5,3,6,4,40,0,2,0,0,0,1
6,8882,1,9,19,19,20,18,22,0,2,0,0,2,0
6,8905,0,1,2,0,1,2,52,0,1,0,0,0,0
6,9045,0,5,4,3,3,2,46,0,1,0,0,0,1
6,9150,1,9,19,18,18,18,21,0,1,0,2,2,1
6,9405,1,10,20,20,19,19,38,1,2,0,0,7,1
6,9437,0,9,19,19,19,20,23,0,3,0,1,2,1
6,9830,0,2,5,4,4,6,48,0,1,0,0,0,1
6,10008,1,4,12,6,8,10,28,0,1,0,0,1,1
6,10491,0,3,5,4,5,8,29,0,1,0,0,1,0
6,10878,1,6,19,14,14,16,47,0,3,0,0,3,0
7,332,0,7,15,12,18,16,30,1,2,0,0,2,1
7,700,1,9,20,20,20,18,26,0,2,1,1,10,1
7,1032,1,9,19,17,19,20,29,0,3,0,0,7,1
7,1871,1,8,13,9,13,14,25,1,2,0,0,2,1
7,2072,0,1,2,1,6,4,66,1,1,0,0,1,0
7,2353,0,1,2,0,4,2,47,0,1,0,0,0,0
7,2718,1,3,6,7,5,9,35,1,2,0,0,0,1
7,2854,1,9,20,20,19,20,31,0,2,0,0,19,1
7,2897,1,7,9,9,10,11,28,0,1,0,0,1,1
7,2937,1,5,7,8,5,5,20,0,1,0,0,0,1
7,3122,0,4,8,8,13,11,46,0,1,0,0,2,0
7,3246,0,3,2,4,2,2,30,0,1,0,0,0,0
7,3408,1,3,1,4,3,8,19,1,1,0,0,0,1
7,3552,0,3,0,2,6,1,28,0,1,0,0,0,0
7,3574,1,3,11,14,14,14,24,0,2,0,0,2,1
7,3642,1,4,13,13,15,13,41,0,2,0,0,3,1
7,3692,1,2,19,19,17,18,41,0,2,0,0,8,1
7,3783,0,1,2,1,4,3,38,0,1,0,0,0,1
7,4028,0,4,1,1,2,1,35,1,2,0,0,0,0
7,4403,0,7,19,17,17,19,40,0,2,0,0,6,1
7,4609,0,1,0,5,2,1,50,0,1,0,0,0,0
7,4655,0,8,19,18,18,20,31,0,1,0,0,10,0
7,5027,1,4,18,18,18,18,27,0,2,0,0,6,1
7,5057,0,1,5,6,5,9,49,1,2,0,0,1,1
7,5114,1,7,20,18,18,20,50,0,1,0,0,26,1
7,5223,1,5,7,6,10,15,23,1,2,0,0,1,1
7,5263,1,10,20,19,20,20,19,0,2,2,1,3,1
7,5383,1,9,8,13,10,15,19,1,2,0,0,1,1
7,5850,1,3,17,10,17,14,25,1,1,0,0,2,0
7,5886,0,1,0,1,3,2,53,0,1,0,0,0,0
7,5993,0,2,3,4,7,3,51,0,1,0,0,1,0
7,6319,1,9,15,16,19,17,23,0,2,0,0,2,0
7,6801,0,8,8,8,9,11,44,0,1,0,0,1,1
7,6980,1,9,20,20,18,20,28,1,2,0,0,13,1
7,7012,0,2,1,3,3,4,28,0,2,0,0,0,1
7,7245,1,8,19,18,20,19,25,0,2,0,0,5,0
7,7468,1,7,15,12,17,13,42,0,1,0,0,2,1
7,7605,1,1,5,2,6,3,49,0,2,0,0,1,0
7,8171,0,2,2,5,2,3,38,0,1,0,0,0,0
7,9268,1,2,3,9,5,11,28,0,1,0,0,1,1
7,9524,0,10,7,7,7,6,29,0,1,0,0,1,0
7,9801,0,5,14,15,14,19,25,0,2,0,0,4,0
7,9921,0,5,5,8,10,14,27,0,2,0,0,1,0
7,9979,0,1,3,6,5,6,34,1,1,0,0,1,0
7,10134,1,7,20,19,18,19,25,0,3,0,0,6,0
7,10528,0,1,3,7,6,4,41,0,3,0,0,1,0
7,10540,1,1,4,4,5,7,31,1,1,0,0,1,0
7,10677,1,9,20,19,18,19,29,0,2,0,0,10,1
7,10721,0,2,14,16,17,16,50,0,1,0,0,4,0
7,10921,0,2,11,11,12,16,26,0,2,0,0,2,0
8,122,1,10,19,19,18,17,30,0,2,0,0,8,0
8,189,0,9,12,11,15,13,52,0,1,0,0,3,0
8,265,1,6,20,16,19,18,28,0,2,0,0,6,0
8,363,1,5,20,19,18,20,44,0,1,0,0,8,0
8,763,1,5,18,20,20,19,26,0,3,0,0,7,1
8,765,1,6,20,20,17,17,66,0,2,0,0,33,1
8,829,1,10,20,20,18,20,22,0,1,1,0,6,1
8,956,1,10,20,20,19,20,24,0,2,0,0,4,1
8,1796,1,3,6,8,4,4,21,0,2,0,0,0,1
8,1834,0,4,7,10,9,8,31,0,1,0,0,0,1
8,1904,0,4,5,4,6,7,32,0,2,0,0,1,1
8,2078,1,5,18,17,18,16,43,0,1,0,0,4,1
8,2121,0,4,17,20,18,20,28,1,2,0,0,4,1
8,2396,0,4,1,0,1,0,57,1,1,0,0,0,0
8,3056,0,3,0,2,3,1,25,0,2,0,0,0,1
8,3146,1,3,4,1,3,5,37,0,3,0,0,0,1
8,3483,0,1,6,9,5,8,39,0,1,0,0,0,0
8,3585,1,1,1,2,5,3,54,0,1,0,0,1,0
8,3761,1,5,19,18,19,20,42,0,2,0,0,7,1
8,4076,0,6,19,18,20,17,33,0,2,0,0,6,1
8,4255,0,5,2,3,4,3,27,0,1,0,0,0,1
8,4436,1,10,20,19,17,18,23,0,2,0,0,4,1
8,4730,1,2,15,14,11,15,20,0,1,0,0,1,1
8,5224,1,8,6,7,10,10,25,0,2,0,0,0,1
8,5354,1,9,1,2,4,1,24,0,2,0,0,1,0
8,5485,1,8,2,3,3,0,22,0,2,0,0,0,1
8,5553,0,3,4,3,6,4,22,0,1,0,0,0,1
8,6205,1,1,20,18,18,19,53,0,2,0,0,15,1
8,6443,0,5,18,17,19,17,28,0,1,0,0,5,1
8,6658,1,4,1,2,3,3,39,0,2,0,0,0,1
8,7257,1,3,5,7,10,6,24,0,1,0,0,1,1
8,7340,1,4,4,8,6,0,31,1,1,0,0,0,1
8,7445,1,8,4,9,5,4,31,0,3,0,0,1,1
8,7723,0,2,4,7,7,5,24,0,3,0,0,0,1
8,7754,1,4,15,15,14,16,25,0,1,0,0,2,0
8,7788,1,6,20,20,20,19,33,0,2,0,0,7,1
8,7914,0,1,1,2,2,2,55,0,1,0,0,0,0
8,8036,0,1,4,6,7,5,42,0,3,0,0,1,0
8,8045,1,9,20,19,17,19,23,0,1,0,0,6,1
8,8278,1,6,12,9,15,13,53,0,2,0,0,3,1
8,8526,0,9,1,4,4,3,26,1,2,0,0,0,0
8,8835,0,1,14,15,15,16,29,0,2,0,0,3,0
8,9031,1,7,20,18,19,20,27,0,2,0,0,21,1
8,9488,1,4,1,5,3,2,21,0,1,0,0,0,0
8,9747,1,4,18,18,20,19,32,0,2,0,0,4,1
8,9832,1,4,6,7,6,6,25,0,1,0,0,1,0
8,10498,0,1,5,6,5,3,65,1,1,0,0,1,1
8,10499,1,9,20,20,19,19,28,1,1,0,0,5,1
8,10836,1,6,16,18,17,19,25,0,2,0,0,3,1
8,10979,0,1,2,1,4,2,43,0,2,0,0,0,0
9,730,0,6,6,3,2,2,35,0,4,0,0,0,1
9,807,0,9,1,2,2,2,23,0,1,0,0,0,0
9,919,1,10,4,6,3,4,36,0,3,0,0,1,0
9,1212,1,5,5,5,5,2,24,1,2,0,0,1,0
9,1314,1,8,20,18,19,20,31,0,2,0,3,25,0
9,1446,0,1,17,13,14,12,35,0,1,0,0,2,1
9,1559,0,4,20,17,16,20,24,0,1,1,2,3,0
9,1689,1,1,10,12,9,13,54,0,1,0,0,3,0
9,2405,0,3,1,3,1,0,24,1,2,0,0,0,1
9,2567,0,6,4,7,5,3,38,0,1,0,0,1,0
9,2780,0,1,0,1,1,0,58,0,1,0,0,0,0
9,3298,0,5,19,18,18,19,31,0,1,0,0,6,0
9,4441,0,2,3,5,1,2,54,1,1,0,0,1,0
9,4510,0,1,6,6,11,6,54,0,1,0,0,2,0
9,5074,1,1,2,5,3,2,33,0,2,0,0,1,0
9,5096,0,4,4,5,2,0,38,1,2,0,0,0,0
9,5342,0,5,15,13,13,9,47,0,1,0,0,3,0
9,5370,0,2,6,8,8,9,23,0,2,0,0,1,0
9,5420,1,4,15,14,16,17,22,0,2,0,0,2,1
9,5600,1,5,2,2,3,1,25,0,2,0,0,0,0
9,5670,1,8,20,20,20,19,18,0,1,5,0,4,1
9,5745,0,3,14,15,15,17,29,0,2,0,0,2,1
9,5821,0,5,13,14,19,14,31,0,1,0,0,3,0
9,6595,0,1,1,2,0,0,40,0,2,0,0,0,1
9,6862,0,4,19,18,19,17,31,0,2,0,0,5,1
9,6916,0,6,10,8,9,10,23,0,2,0,0,1,1
9,7178,1,6,19,15,19,18,43,0,2,0,0,7,1
9,7323,1,5,17,18,20,20,41,0,2,0,0,19,1
9,8118,0,6,14,11,17,14,34,0,2,0,0,4,0
9,8253,0,3,1,2,0,0,29,0,2,0,0,0,0
9,8259,0,1,0,2,1,0,58,0,2,0,0,0,1
9,8292,1,10,20,19,20,20,28,0,2,0,8,12,1
9,8306,1,9,18,19,17,20,43,0,2,0,0,15,0
9,8705,1,9,20,20,18,20,22,1,2,0,0,4,1
9,8791,0,6,2,1,2,0,29,1,1,0,0,0,0
9,8847,1,5,13,14,12,18,39,1,2,0,0,3,1
9,8891,1,4,20,18,19,20,56,0,1,0,0,17,1
9,9040,0,1,15,12,14,17,34,0,2,0,0,3,1
9,9055,1,4,1,3,3,0,21,1,3,0,0,0,0
9,9163,1,8,20,19,20,20,31,0,2,1,1,12,0
9,9367,1,9,20,16,20,19,25,1,2,0,0,7,1
9,9534,1,6,20,20,20,20,49,0,2,0,0,29,1
9,9746,0,7,1,5,1,4,23,0,3,0,0,0,0
9,9811,1,9,19,19,17,17,25,1,2,0,0,5,1
9,9852,1,10,19,18,16,18,21,0,2,0,2,2,1
9,10167,1,6,17,12,9,15,24,0,2,0,0,2,1
9,10369,0,1,4,8,4,4,29,0,3,0,0,1,1
